Energy of the beam before the diffusor : 24.9145
Energy of the beam after the diffusor : 24.464247648105157
Energy of the beam at the 'sortie air' : 24.23668376298896
****************Energy of the beam at the end of the collimator: 
position	thickness alu (mm)	energie
0	0	24.15160969503065
1	0.147	23.45700260900084
2	0.29	22.79391681582761
3	0.431	22.066334560328183
4	0.568	21.4203432585326
5	0.701	20.70720266852388
6	0.842	19.974387985196582
7	0.99	19.219998771030557
8	1.133	18.38520785820087
9	1.278	17.5785377475818
10	1.424	16.680976365629913
11	1.564	15.807887282766329
12	1.714	14.828660780703789
13	1.862	13.796365122565643
14	2.007	12.775431215699845
15	2.156	11.605853800076936
16	2.296	10.424838453853178
17	2.448	9.031337217984994
18	2.599	7.446112659119556
19	2.761	5.247468323976802
