Energy of the beam before the diffusor : 24.9145
Energy of the beam at the 'sortie air' : 24.690173715719652
****************Energy of the beam at the end of the collimator: 
position	thickness alu (mm)	energie
0	0	24.606402706554896
1	0.147	23.92208065308516
2	0.29	23.269317922791142
3	0.431	22.553677878502487
4	0.568	21.91887443961823
5	0.701	21.218780647315103
6	0.842	20.5002039426951
7	0.99	19.761440758105074
8	1.133	18.945213900182903
9	1.278	18.157903884191935
10	1.424	17.283743202853255
11	1.564	16.435560562710478
12	1.714	15.487183460605223
13	1.862	14.491338863871995
14	2.007	13.511213021861114
15	2.156	12.39553577038453
16	2.296	11.27872641690271
17	2.448	9.977734733441467
18	2.599	8.528987666860653
19	2.761	6.61058898484851
